Wind_Speed_ms,Wind_Gen_MWh,Solar_Radiation_Wm2,Solar_Gen_MWh,Cloud_Cover_pct
4.486111111111111,8100.52,145.25,12076.49,76.75
4.486111111111111,11126.09,479.25,25558.48,76.75
5.194444444444444,14852.02,478.5,27098.29,74.5
5.98611111111111,16824.7,391.75,16726.09,67.75
5.388888888888888,12415.0,89.75,994.15,73.25
6.333333333333332,12921.32,0.0,6.31,59.0
7.055555555555555,14554.88,0.0,5.53,61.25
7.027777777777778,14855.02,0.0,36.86,52.25
6.451388888888889,13238.72,133.5,11155.52,71.0
5.958333333333333,16283.26,349.0,24135.31,83.0
6.354166666666666,17980.34,505.25,24698.34,84.75
6.0,15650.02,410.75,15155.37,86.25
5.381944444444445,9156.13,109.25,835.64,75.25
5.805555555555555,8975.72,0.0,5.62,81.75
5.826388888888889,7855.11,0.0,6.36,89.5
5.583333333333334,7563.06,0.0,36.04,86.75
4.5625,6011.06,139.5,9171.17,64.5
4.722222222222222,7358.38,407.0,26775.86,94.75
5.222222222222222,9258.35,507.75,30614.91,81.25
4.229166666666666,9299.63,430.0,19806.15,69.5
3.847222222222222,5476.67,118.25,1109.37,52.75
5.027777777777778,6914.76,0.0,15.51,37.75
4.576388888888889,6814.29,0.0,8.23,96.25
3.9305555555555554,6082.98,0.0,53.06,76.5
3.0277777777777777,4415.14,100.5,9950.83,100.0
4.0,5481.32,316.25,25733.9,82.5
4.347222222222222,7481.83,553.0,29456.12,60.75
5.048611111111112,11038.44,394.5,17573.45,69.5
4.624999999999999,9736.08,95.75,850.57,88.0
5.819444444444444,10578.78,0.0,7.53,65.75
5.305555555555556,11872.17,0.0,6.45,82.75
5.972222222222222,12557.56,0.0,32.16,94.75
5.409722222222222,11895.34,86.25,8574.93,92.75
5.659722222222222,9898.26,202.0,23309.36,100.0
5.326388888888889,10592.84,321.25,23627.26,97.25
5.284722222222221,14391.57,328.0,14354.88,98.25
5.138888888888888,11806.49,90.75,717.61,100.0
5.118055555555555,16242.79,0.0,6.49,95.75
6.006944444444445,17383.03,0.0,5.74,80.0
6.763888888888889,15954.57,0.0,17.76,93.0
6.493055555555555,11486.88,60.25,7142.79,91.25
4.784722222222222,10620.59,338.75,23953.79,79.0
5.75,12338.37,397.5,30022.97,94.25
5.395833333333333,11965.38,410.25,17989.58,92.5
5.673611111111112,16479.84,80.75,626.82,98.0
6.527777777777778,25458.19,0.0,8.21,90.25
6.937499999999999,22806.51,0.0,6.81,82.0
5.833333333333333,15550.91,0.0,26.77,71.25
5.4375,12071.6,89.75,10486.74,74.75
5.361111111111112,14914.2,374.0,24295.58,57.25
5.513888888888889,16975.2,450.5,27530.71,56.75
6.006944444444445,22526.59,425.25,19187.84,17.25
6.354166666666666,20704.79,107.75,914.48,43.0
5.874999999999999,20567.04,0.0,10.89,30.75
5.895833333333334,19253.9,0.0,11.27,21.0
4.965277777777778,17753.03,0.0,39.58,33.25
3.75,9650.15,158.5,18839.66,32.0
4.916666666666666,10484.05,573.25,37824.65,44.75
5.111111111111112,11040.31,698.25,36981.53,71.75
4.743055555555555,9217.1,507.75,23525.98,72.75
4.451388888888888,3250.18,116.0,916.04,36.5
4.256944444444444,1961.57,0.0,11.52,52.25
3.8333333333333335,2766.79,0.0,7.17,83.75
3.729166666666667,5316.12,0.0,34.71,83.0
3.256944444444444,5018.82,148.5,16373.42,67.5
2.0694444444444446,2475.19,559.0,42800.37,76.25
3.881944444444444,4623.65,695.75,43317.42,51.75
3.8125,7816.97,515.5,23713.03,68.0
3.451388888888889,3570.82,92.75,711.01,62.25
3.9513888888888893,4417.34,0.0,10.7,52.5
5.076388888888888,6026.31,0.0,10.1,50.5
3.75,7995.64,0.0,29.73,63.75
3.3819444444444446,6375.94,142.75,15929.25,42.5
2.597222222222222,6392.24,566.25,38391.09,45.25
3.798611111111111,10258.77,676.75,38544.21,43.25
5.0,8059.87,491.5,22198.53,55.25
3.0347222222222223,3056.62,112.25,775.55,52.25
4.333333333333334,1780.92,0.0,18.96,29.0
3.423611111111111,1321.06,0.0,8.17,24.75
3.6597222222222223,1582.83,0.0,39.29,28.25
3.2777777777777777,2034.24,126.75,16354.05,37.25
1.6388888888888888,1029.4,479.25,38911.91,73.0
2.006944444444444,2491.75,688.25,41409.55,14.75
3.9513888888888893,6329.71,522.25,25404.57,34.75
4.486111111111111,8771.0,108.5,737.19,23.5
5.381944444444445,10513.81,0.0,14.36,22.5
5.972222222222222,12757.65,0.0,12.89,9.75
5.833333333333333,11951.93,0.0,26.4,2.25
5.402777777777778,6126.51,158.0,18258.1,3.5
5.208333333333333,5956.66,600.0,40942.6,29.5
5.715277777777778,5114.81,732.5,41194.36,17.0
5.319444444444444,7579.18,554.5,26453.78,21.5
4.965277777777778,4057.73,121.5,695.81,49.75
5.097222222222222,5878.5,0.0,9.51,45.25
3.9305555555555554,4949.11,0.0,9.59,14.0
3.4444444444444446,4071.72,0.0,29.11,22.75
3.6874999999999996,2657.27,159.25,18919.07,10.5
2.368055555555556,1438.11,609.25,45938.51,11.25
3.1111111111111107,1201.73,792.5,48858.43,41.75
3.1875,1110.07,557.5,26947.36,38.25
3.576388888888889,2588.16,116.75,586.82,25.75
4.041666666666667,6830.26,0.0,9.77,17.75
4.298611111111111,6816.59,0.0,6.19,0.0
4.534722222222222,5749.05,0.0,28.74,19.5
3.7916666666666665,4229.23,154.5,17785.46,17.25
2.145833333333333,2563.75,574.75,40466.48,13.0
2.833333333333333,3524.5,785.0,43355.52,39.0
3.534722222222222,3679.85,534.75,22999.15,25.75
4.881944444444444,7231.63,113.0,543.08,7.25
5.409722222222222,13560.03,0.0,10.53,24.25
5.0625,10182.01,0.0,9.92,2.0
4.798611111111111,7724.91,0.0,14.79,8.75
4.798611111111111,3994.91,149.5,16791.47,23.75
2.5416666666666665,1050.3,579.0,42123.58,1.0
3.069444444444444,1951.75,780.75,44924.06,1.75
2.8055555555555554,1663.37,559.5,23379.56,17.0
4.055555555555556,4126.54,110.75,441.07,0.25
3.833333333333333,7357.06,0.0,8.3,18.25
3.861111111111111,5175.12,0.0,7.09,35.75
4.361111111111111,3227.72,0.0,20.29,16.75
3.944444444444444,1942.63,137.25,16046.6,21.75
1.7291666666666665,1067.79,580.5,40387.77,3.25
2.388888888888889,1128.45,766.0,42018.25,40.75
2.986111111111111,421.81,477.75,21728.76,55.75
3.8611111111111107,2213.91,94.0,483.09,65.25
2.819444444444444,5123.24,0.0,7.24,54.75
3.763888888888889,4367.07,0.0,9.86,36.25
3.1805555555555554,5021.79,0.0,16.03,8.0
3.125,3369.51,139.25,15032.73,25.5
2.2083333333333335,3144.83,576.75,42640.86,4.25
3.4930555555555554,6515.36,741.5,42264.15,30.5
4.555555555555555,11042.17,414.25,19819.07,74.0
4.8125,10490.76,90.25,462.54,39.0
6.875,10952.38,0.0,11.46,49.0
5.958333333333333,9016.69,0.0,6.45,50.0
5.4375,8647.33,0.0,11.83,52.0
4.979166666666667,7520.43,88.25,8488.53,75.0
3.895833333333333,9032.47,454.25,25791.35,55.25
4.826388888888888,11657.75,667.0,34528.3,45.75
5.944444444444444,15338.17,472.75,19586.15,34.5
5.6875,13553.89,85.0,370.57,41.75
5.513888888888889,11454.56,0.0,14.15,51.0
4.708333333333333,9444.69,0.0,7.67,52.0
5.027777777777778,6555.45,0.0,17.89,51.75
3.5416666666666665,3237.46,107.5,12233.97,18.0
3.3680555555555554,2284.38,479.25,33791.16,72.25
3.1111111111111107,2622.55,672.75,36775.08,41.0
3.4027777777777777,3419.16,439.25,22322.41,48.75
3.9722222222222223,3768.14,84.75,329.63,44.75
4.152777777777778,4178.29,0.0,10.4,54.5
3.2222222222222223,2427.71,0.0,7.62,21.75
3.395833333333333,2008.85,0.0,15.65,3.75
3.1180555555555554,1209.43,139.25,17577.36,0.0
2.1805555555555554,1395.67,587.0,46313.64,1.75
2.9791666666666665,1716.15,756.5,47820.3,25.5
3.625,2078.32,505.0,25268.25,12.0
3.5624999999999996,2606.24,90.25,324.68,0.75
4.0,6251.91,0.0,6.6,0.0
3.0902777777777777,4583.37,0.0,6.63,0.25
3.4027777777777777,2734.37,0.0,19.72,0.5
3.0486111111111107,1889.22,135.5,17649.35,0.0
2.125,1821.6,583.5,44986.11,0.0
2.4930555555555554,2418.16,766.5,47468.6,0.0
2.944444444444444,3990.83,537.75,24460.98,0.75
4.534722222222223,4739.17,88.75,262.64,0.25
3.097222222222222,4412.35,0.0,13.9,47.25
3.4513888888888884,4035.43,0.0,6.19,12.5
3.9652777777777772,4302.28,0.0,8.01,50.75
3.6041666666666665,3350.14,122.0,13148.61,43.5
3.1666666666666665,5162.97,500.5,34300.16,56.25
3.5,5108.27,572.75,36809.12,69.25
4.701388888888889,6458.5,337.5,17544.96,61.25
5.777777777777777,7517.72,50.75,240.83,77.25
6.277777777777778,10303.36,0.0,7.46,55.0
4.319444444444445,6393.41,0.0,6.53,55.75
3.5902777777777777,4131.11,0.0,17.48,48.75
3.395833333333333,3100.64,100.75,11907.46,50.5
2.5625,5513.38,472.0,34907.27,52.0
4.104166666666667,9590.44,577.75,32114.92,73.75
4.694444444444444,15659.54,378.25,16081.8,47.0
5.284722222222221,14891.0,58.5,214.34,35.0
5.8125,13752.91,0.0,11.26,43.0
6.125,10607.09,0.0,11.7,54.25
5.1875,10081.79,0.0,13.98,32.75
4.006944444444445,7183.99,116.75,11013.8,41.0
4.861111111111111,11651.17,518.0,29360.22,58.0
6.034722222222222,16978.19,613.5,29113.84,59.75
6.548611111111111,17288.29,374.0,14612.69,50.25
5.750000000000001,10737.9,52.25,145.78,78.25
4.888888888888889,9600.05,0.0,10.33,79.0
4.972222222222221,10247.88,0.0,6.63,49.5
4.243055555555555,10840.77,0.0,14.87,62.75
3.875,11398.15,81.5,9237.57,91.25
4.986111111111111,15470.43,307.75,26927.47,55.75
6.743055555555555,14535.04,414.25,29174.74,51.75
6.409722222222221,15180.5,345.75,15876.56,77.0
4.791666666666667,6795.75,63.75,181.2,16.25
4.576388888888889,7300.2,0.0,8.98,18.0
4.048611111111112,5793.86,0.0,15.7,10.0
4.930555555555555,5728.26,0.0,15.35,15.25
4.736111111111112,4195.72,115.0,14328.16,36.75
3.6527777777777772,6340.32,513.0,34191.35,17.25
4.361111111111111,7777.4,501.0,31016.43,74.5
5.069444444444445,9399.38,382.5,18674.06,58.25
4.145833333333333,5695.25,61.0,138.76,18.5
4.826388888888888,6606.9,0.0,7.87,10.25
4.673611111111111,5625.2,0.0,6.14,14.5
3.958333333333333,5116.66,0.0,20.98,27.25
4.118055555555555,4564.81,87.75,14537.71,49.25
3.0624999999999996,5441.01,508.0,36143.38,71.75
4.166666666666667,6760.04,633.25,40929.94,92.5
3.9166666666666665,6383.06,442.5,21895.06,75.0
3.5833333333333335,2563.89,58.25,192.35,52.0
2.7847222222222223,2579.79,0.0,12.1,58.25
3.152777777777778,2830.47,0.0,7.22,39.0
3.236111111111111,2601.54,0.0,14.87,10.75
3.5624999999999996,3110.43,104.25,15866.76,25.0
1.8124999999999998,1854.74,546.0,42253.94,29.5
2.6041666666666665,2358.4,648.25,44169.49,62.5
3.1111111111111107,1775.51,446.75,18450.34,67.25
3.6736111111111116,4172.79,49.25,130.62,96.75
5.131944444444445,13697.51,0.0,8.72,91.5
6.340277777777778,13594.39,0.0,6.45,76.5
5.930555555555556,10565.5,0.0,9.4,50.25
5.701388888888888,7009.36,62.5,9163.22,82.0
3.458333333333333,5837.04,506.0,34766.01,51.0
4.013888888888888,7315.26,675.0,35484.42,53.25
3.2708333333333335,5860.89,317.75,14165.21,76.75
3.4791666666666665,3953.6,49.75,85.03,93.0
4.229166666666667,6657.84,0.0,10.48,97.25
4.444444444444445,4393.7,0.0,6.88,75.0
4.076388888888889,4104.07,0.0,10.79,99.5
4.791666666666667,4322.97,47.75,5782.06,99.75
3.770833333333333,2740.2,222.5,17290.25,100.0
3.708333333333333,3571.39,260.0,16164.15,100.0
2.513888888888889,5377.83,163.75,7769.94,100.0
3.5833333333333335,4345.43,26.0,112.52,98.5
3.479166666666666,4061.8,0.0,14.89,90.0
4.513888888888888,4221.43,0.0,6.12,98.75
4.847222222222222,5025.09,0.0,14.29,99.0
4.826388888888888,5429.05,41.25,7353.99,82.5
2.8194444444444446,4142.62,401.75,31584.36,73.25
2.7152777777777777,6212.27,420.0,34332.51,74.5
3.5624999999999996,7986.96,316.5,15152.23,63.0
4.451388888888888,9711.99,36.75,73.87,40.75
5.597222222222221,10915.21,0.0,24.05,59.5
5.8125,10342.64,0.0,8.94,85.5
5.277777777777778,8809.45,0.0,9.81,85.0
5.256944444444445,7605.84,53.0,8156.42,75.25
4.756944444444445,8414.75,428.25,31587.07,64.75
5.111111111111111,9761.44,605.75,33356.08,38.0
4.472222222222222,7291.13,423.0,18218.44,21.75
3.597222222222222,3378.42,42.0,121.72,25.0
4.791666666666667,7863.09,0.0,8.2,5.0
4.937499999999999,10841.02,0.0,10.23,1.0
4.451388888888888,11651.09,0.0,17.8,7.5
4.298611111111112,10010.64,96.5,14178.53,7.75
2.791666666666667,7012.68,495.75,35927.27,41.0
3.9722222222222223,5519.36,579.5,34862.66,44.75
3.3055555555555554,4344.42,366.75,18563.65,50.25
3.7916666666666665,4458.87,35.5,84.38,45.25
5.243055555555555,11221.31,0.0,7.69,45.5
5.416666666666667,12593.54,0.0,8.5,30.5
4.715277777777778,12945.15,0.0,8.93,42.0
6.034722222222222,9846.75,77.25,11019.99,56.0
4.576388888888889,5625.83,381.0,22468.91,88.75
5.791666666666667,6049.65,537.5,24970.66,96.75
4.138888888888889,4468.2,216.5,10780.29,98.5
3.2916666666666665,2798.66,22.5,107.27,99.5
4.0,5916.86,0.0,5.8,97.75
3.513888888888889,5418.73,0.0,5.82,100.0
3.9305555555555554,5520.59,0.0,6.29,81.0
4.597222222222222,5300.04,43.5,6150.87,80.5
3.708333333333333,4993.4,276.75,24153.35,76.75
3.729166666666667,6988.26,403.5,28959.16,85.25
3.826388888888889,6671.49,415.75,16148.66,19.0
2.951388888888889,5801.71,34.0,110.52,49.25
