STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1420;2022051108:22;    1;  125.0;   36.0;  209.0;  60;    52.57;2022051109:00;eor
       1420;2022051109:22;    1;  130.0;   39.0;  256.0;  60;    43.89;2022051110:00;eor
       1420;2022051110:22;    1;  135.0;   57.0;  268.0;  56;    36.81;2022051111:00;eor
       1420;2022051111:22;    1;  134.0;   43.0;  312.0;  59;    32.65;2022051112:00;eor
       1420;2022051112:22;    1;  135.0;   46.0;  316.0;  60;    32.64;2022051113:00;eor
       1420;2022051113:22;    1;  139.0;   56.0;  288.0;  58;    36.78;2022051114:00;eor
       1420;2022051114:22;    1;  138.0;   53.0;  248.0;  59;    43.84;2022051115:00;eor
       1420;2022051115:22;    1;  139.0;   56.0;  208.0;  53;    52.51;2022051116:00;eor
       1420;2022051116:22;    1;  137.0;   37.0;  155.0;  60;    61.93;2022051117:00;eor
       1420;2022051117:22;    1;  136.0;   30.0;   85.0;  59;    71.54;2022051118:00;eor
       1420;2022051118:22;    1;  134.0;   24.0;   43.0;  60;    80.95;2022051119:00;eor
       1420;2022051119:22;    1;  129.0;    5.0;    6.0;  20;    89.81;2022051120:00;eor
       1420;2022051120:22;    1;  130.0;    0.0;    0.0;   0;    97.74;2022051121:00;eor
       1420;2022051121:22;    1;  129.0;    0.0;    0.0;   0;   104.31;2022051122:00;eor
       1420;2022051122:22;    1;  129.0;    0.0;    0.0;   0;   109.07;2022051123:00;eor
       1420;2022051123:22;    1;  123.0;    0.0;    0.0;   0;   111.59;2022051200:00;eor
       1420;2022051300:22;    1;  117.0;    0.0;    0.0;   0;   111.33;2022051301:00;eor
       1420;2022051301:22;    1;  113.0;    0.0;    0.0;   0;   108.80;2022051302:00;eor
       1420;2022051302:22;    1;  110.0;    0.0;    0.0;   0;   104.04;2022051303:00;eor
       1420;2022051303:22;    1;  109.0;    0.0;    0.0;   0;    97.46;2022051304:00;eor
       1420;2022051304:22;    1;  108.0;    4.0;    5.0;   5;    89.53;2022051305:00;eor
       1420;2022051305:22;    1;  112.0;   23.0;   30.0;  36;    80.68;2022051306:00;eor
       1420;2022051306:22;    1;  121.0;   47.0;   51.0;   2;    71.26;2022051307:00;eor
       1420;2022051307:22;    1;  117.0;   61.0;  155.0;  46;    61.63;2022051308:00;eor
       1420;2022051308:22;    1;  113.0;   37.0;  220.0;  60;    52.19;2022051309:00;eor
       1420;2022051309:22;    1;  114.0;   53.0;  271.0;  59;    43.47;2022051310:00;eor
       1420;2022051310:22;    1;  117.0;  117.0;  261.0;  60;    36.35;2022051311:00;eor
       1420;2022051311:22;    1;  117.0;  105.0;  286.0;  60;    32.15;2022051312:00;eor
       1420;2022051312:22;    1;  117.0;   80.0;  308.0;  60;    32.14;2022051313:00;eor
       1420;2022051313:22;    1;  120.0;   97.0;  283.0;  60;    36.33;2022051314:00;eor
       1420;2022051314:22;    1;  121.0;   98.0;  252.0;  60;    43.43;2022051315:00;eor
       1420;2022051315:22;    1;  122.0;   86.0;  192.0;  60;    52.13;2022051316:00;eor
       1420;2022051316:22;    1;  122.0;   67.0;  139.0;  60;    61.56;2022051317:00;eor
       1420;2022051317:22;    1;  121.0;   46.0;   93.0;  60;    71.17;2022051318:00;eor
       1420;2022051318:22;    1;  120.0;   24.0;   41.0;  60;    80.57;2022051319:00;eor
       1420;2022051319:22;    1;  117.0;    5.0;    6.0;  30;    89.41;2022051320:00;eor
       1420;2022051320:22;    1;  114.0;    0.0;    0.0;   0;    97.31;2022051321:00;eor
       1420;2022051321:22;    1;  112.0;    0.0;    0.0;   0;   103.86;2022051322:00;eor
       1420;2022051322:22;    1;  111.0;    0.0;    0.0;   0;   108.59;2022051323:00;eor
       1420;2022051323:22;    1;  110.0;    0.0;    0.0;   0;   111.09;2022051400:00;eor
       1420;2022051400:22;    1;  109.0;    0.0;    0.0;   0;   111.08;2022051401:00;eor
       1420;2022051401:22;    1;  108.0;    0.0;    0.0;   0;   108.57;2022051402:00;eor
       1420;2022051402:22;    1;  107.0;    0.0;    0.0;   0;   103.81;2022051403:00;eor
       1420;2022051403:22;    1;  106.0;    0.0;    0.0;   0;    97.25;2022051404:00;eor
       1420;2022051404:22;    1;  105.0;    3.0;    3.0;   0;    89.34;2022051405:00;eor
       1420;2022051405:22;    1;  106.0;   16.0;   40.0;  37;    80.49;2022051406:00;eor
       1420;2022051406:22;    1;  109.0;   25.0;  100.0;  60;    71.08;2022051407:00;eor
       1420;2022051407:22;    1;  112.0;   30.0;  161.0;  60;    61.45;2022051408:00;eor
       1420;2022051408:22;    1;  115.0;   33.0;  218.0;  60;    52.00;2022051409:00;eor
       1420;2022051409:22;    1;  118.0;   44.0;  261.0;  60;    43.27;2022051410:00;eor
       1420;2022051410:22;    1;  119.0;   38.0;  296.0;  60;    36.13;2022051411:00;eor
       1420;2022051411:22;    1;  121.0;   37.0;  296.0;  60;    31.91;2022051412:00;eor
       1420;2022051412:22;    1;  122.0;   35.0;  322.0;  60;    31.90;2022051413:00;eor
       1420;2022051413:22;    1;  124.0;   37.0;  305.0;  60;    36.11;2022051414:00;eor
       1420;2022051414:22;    1;  125.0;   50.0;  269.0;  60;    43.23;2022051415:00;eor
       1420;2022051415:22;    1;  126.0;   55.0;  216.0;  60;    51.95;2022051416:00;eor
       1420;2022051416:22;    1;  126.0;   47.0;  161.0;  60;    61.38;2022051417:00;eor
       1420;2022051417:22;    1;  124.0;   33.0;  105.0;  59;    70.99;2022051418:00;eor
       1420;2022051418:22;    1;  122.0;   18.0;   39.0;  58;    80.39;2022051419:00;eor
       1420;2022051419:22;    1;  120.0;    5.0;    6.0;  23;    89.21;2022051420:00;eor
       1420;2022051420:22;    1;  116.0;    0.0;    0.0;   0;    97.10;2022051421:00;eor
       1420;2022051421:22;    1;  114.0;    0.0;    0.0;   0;   103.64;2022051422:00;eor
       1420;2022051422:22;    1;  114.0;    0.0;    0.0;   0;   108.36;2022051423:00;eor
       1420;2022051423:22;    1;  114.0;    0.0;    0.0;   0;   110.85;2022051500:00;eor
       1420;2022051500:22;    1;  113.0;    0.0;    0.0;   0;   110.84;2022051501:00;eor
       1420;2022051501:22;    1;  112.0;    0.0;    0.0;   0;   108.33;2022051502:00;eor
       1420;2022051502:22;    1;  111.0;    0.0;    0.0;   0;   103.59;2022051503:00;eor
       1420;2022051503:22;    1;  111.0;    0.0;    0.0;   0;    97.04;2022051504:00;eor
       1420;2022051504:22;    1;  111.0;    6.0;    7.0;  13;    89.14;2022051505:00;eor
       1420;2022051505:22;    1;  111.0;   20.0;   41.0;  54;    80.30;2022051506:00;eor
       1420;2022051506:22;    1;  113.0;   31.0;  102.0;  60;    70.90;2022051507:00;eor
       1420;2022051507:22;    1;  115.0;   47.0;  152.0;  60;    61.27;2022051508:00;eor
